Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Roller Skates,Steel Pulse,Earth Crisis,1980,299946,4,0.833,0.575,4,-9.341,0,0.238,0.232,0,0.139,0.807,78.689,51
Your House,Steel Pulse,True Democracy,1980,222600,4,0.707,0.716,10,-8.962,0,0.0879,0.057,0.00000425,0.36,0.966,154.118,50
Chase Dem,Stephen Marley,Mind Control,2001,255066,4,0.836,0.549,4,-6.527,0,0.173,0.035,0,0.219,0.949,130.996,34
False Friends,Stephen Marley,Revelation Part 1: The Root Of Life,2001,202173,4,0.738,0.703,3,-4.835,0,0.148,0.0785,0,0.132,0.901,133.982,45
Hey Baby,Stephen Marley,Mind Control,2001,294786,4,0.718,0.595,10,-5.632,0,0.263,0.105,0.0000103,0.0745,0.634,185.025,55
Iron Bars,Stephen Marley,Mind Control,2001,255040,4,0.828,0.709,1,-4.55,1,0.178,0.0338,0.00000168,0.321,0.817,99.789,34
Jah Army,Stephen Marley,Revelation Part 1: The Root Of Life,2001,283013,4,0.659,0.883,10,-3.009,0,0.286,0.0215,0,0.18,0.709,77.068,48
No Cigarette Smoking (In My Room),Stephen Marley,Revelation Part 1: The Root Of Life,2001,220493,4,0.703,0.525,6,-4.859,0,0.0956,0.0349,0,0.0631,0.766,135.835,47
Rock Stone,Stephen Marley,Revelation Pt. II: The Fruit of Life,2001,277653,4,0.77,0.787,11,-5.489,0,0.278,0.23,0.000199,0.198,0.588,82.029,53
The Traffic Jam,Stephen Marley,Mind Control,2001,220613,4,0.799,0.634,1,-7.136,0,0.371,0.448,0,0.0706,0.723,94.884,35
Good Thing Going,Sugar Minott,Good Thing Going,1982,220212,4,0.772,0.394,1,-12.72,1,0.128,0.416,0.00236,0.0741,0.882,79.686,47
Herbman Hustling,Sugar Minott,Reggae Anthology: Sugar Minott - Hard Time Pressure,1982,211960,4,0.811,0.579,11,-11.211,0,0.0861,0.00406,0,0.0732,0.811,75.844,19
Jah Jah Children,Sugar Minott,Reggae Anthology: Sugar Minott - Hard Time Pressure,1982,161853,4,0.544,0.461,10,-9.744,1,0.0887,0.0169,0.0000074,0.734,0.626,60.889,8
No Vacancy,Sugar Minott,With Lots of Extra,1982,221200,4,0.86,0.22,6,-18.911,0,0.167,0.0171,0.00000567,0.129,0.504,138.259,24
Oh Mr. DC,Sugar Minott,Showcase,1982,366000,4,0.794,0.479,3,-10.727,1,0.0644,0.404,0.00476,0.12,0.785,93.081,17
African Race,The Abyssinians,Satta Massagana,1969,173560,4,0.758,0.308,9,-16.741,0,0.0432,0.59,0.00113,0.302,0.615,130.096,8
