Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Turn Around,Iration,Time Bomb,2013,231346,4,0.687,0.7,8,-6.439,1,0.03,0.00144,0.0000635,0.13,0.963,103.946,46
You Know You Don't Mind,Iration,Hotting Up,2013,226520,4,0.65,0.81,9,-5.137,1,0.0527,0.00358,0,0.0863,0.877,75.517,31
Bad Intention,Israel Vibration,Reggae Knights,1980,231893,4,0.769,0.585,7,-6.283,1,0.175,0.203,0.0000025,0.0674,0.811,173.193,11
Cool and Calm,Israel Vibration,Strength of My Life,1980,265880,4,0.795,0.415,0,-10.466,1,0.153,0.127,0.00000876,0.067,0.821,76.28,55
Herb Is The Healing,Israel Vibration,Stamina,1980,271306,4,0.922,0.64,7,-6.109,1,0.169,0.0431,0.00029,0.351,0.81,129.861,46
Pay the Piper,Israel Vibration,Hard Road,1980,289274,4,0.875,0.546,2,-9.758,1,0.357,0.00836,0,0.0866,0.973,135.893,7
Rudeboy Shufflin' - Live 95,Israel Vibration,Israel Vibration on the Strength of the Trinity Live 95,1995,360520,4,0.821,0.544,5,-9.117,0,0.0821,0.243,0.00124,0.84,0.896,145.828,12
The Same Song,Israel Vibration,The Power Of The Trinity: Great Moments In Reggae Harmony,1980,239493,4,0.929,0.466,1,-9.809,1,0.304,0.0749,0.00194,0.0363,0.684,123.019,34
Cinnamon Crush (feat. Lindsey Lomis),Jacob Collier,Djesse Vol. 4,2016,227480,4,0.515,0.47,8,-9.214,1,0.121,0.758,0.00011,0.102,0.448,75.386,44
Forward Jah Jah Children (original),Jacob Miller,The 'Killer' Rides Again,1976,199666,4,0.784,0.279,8,-20.376,1,0.464,0.0397,0.00000968,0.0464,0.873,136.73,21
I'm A Natty,Jacob Miller,Reggae Anthology: Joe Gibbs - Scorchers From The Mighty Two,1976,179520,4,0.742,0.265,11,-10.176,1,0.165,0.000131,0.079,0.101,0.646,93.808,17
Mixed Up Moods,Jacob Miller,Song Book: Chapter a Day,1976,326826,4,0.69,0.547,9,-8.123,0,0.106,0.0921,0.00000129,0.056,0.872,76.529,34
Tenement Yard,Jacob Miller,Song Book: Chapter a Day,1976,154333,4,0.883,0.521,4,-6.845,1,0.309,0.229,0,0.0794,0.962,143.804,54
Tired Fi Lick Weed,Jacob Miller,Song Book: Chapter a Day,1976,183333,4,0.837,0.443,7,-9.352,1,0.226,0.068,0,0.104,0.698,135.539,31
Before I Leave,Jah Cure,Before I Leave,2003,235333,4,0.726,0.578,5,-5.723,0,0.0438,0.0551,0,0.108,0.666,89.166,48
Call On Me,Jah Cure,The Universal Cure,2003,265786,4,0.649,0.691,8,-6.891,0,0.0654,0.0461,0.00000459,0.102,0.497,84.993,38
Journey,Jah Cure,The Universal Cure,2003,221240,4,0.485,0.791,9,-3.653,0,0.11,0.247,0,0.469,0.567,157.686,6
Longing For,Jah Cure,True Reflections...A New Beginning,2003,232000,4,0.67,0.54,4,-7.417,0,0.296,0.297,0.00000337,0.0751,0.473,167.935,55
Love Is,Jah Cure,True Reflections...A New Beginning,2003,218160,4,0.685,0.63,0,-5.485,1,0.155,0.119,0,0.166,0.708,85.04,41
Never Find,Jah Cure,Don Corleon Presents - Changes Riddim,2003,207908,4,0.457,0.669,6,-6.811,0,0.302,0.635,0,0.0967,0.486,174.188,55
True Reflection,Jah Cure,True Reflections...A New Beginning,2003,248013,4,0.395,0.468,10,-8.032,1,0.0432,0.177,0,0.119,0.279,136.327,31
Unconditional Love,Jah Cure,World Cry,2003,348000,4,0.615,0.515,4,-11.019,1,0.0436,0.167,0,0.0743,0.678,75.04,42
Ali Baba,John Holt,John Holt Selects Reggae,1972,157800,4,0.84,0.535,5,-9.366,1,0.0644,0.364,0.0141,0.0722,0.885,79.716,39
Baby I'm A Want You,John Holt,Sexual Reggae Music,1972,138306,4,0.679,0.341,4,-11.687,1,0.043,0.16,0.0000959,0.0862,0.756,146.287,0
For The Love Of You,John Holt,The Tide Is High,1972,217773,4,0.775,0.586,1,-5.788,1,0.0962,0.0773,0.00026,0.0539,0.775,83.183,32
If I Were a Carpenter,John Holt,If I Were a Carpenter,1972,182360,4,0.755,0.748,0,-6.138,1,0.0559,0.181,0.000032,0.216,0.728,75.698,22
Love I Can Feel,John Holt,One Million Volts of Holt,1972,204560,4,0.869,0.615,3,-8.59,0,0.0479,0.169,0.0000028,0.0707,0.922,139.206,21
Never Never Never,John Holt,1000 Volts Of Holt,1972,237706,4,0.615,0.286,11,-16.612,1,0.063,0.247,0,0.113,0.833,83.013,31
Police In Helicopter,John Holt,Police In Helicopter,1972,219160,4,0.683,0.653,9,-7.586,0,0.113,0.0326,0.00000842,0.0578,0.501,143.224,59
Stick By Me,John Holt,Memories By The Score Vol. 2,1972,194543,4,0.814,0.57,8,-4.289,1,0.115,0.71,0.0000181,0.0795,0.827,79.401,31
Sweetie Come Brush Me,John Holt,Reggae Legends: John Holt,1972,203653,4,0.877,0.54,7,-7.158,0,0.0692,0.0669,0.0000435,0.0748,0.655,74.557,17
Up Park Camp,John Holt,The Reggae Artist Gallery,1972,189760,4,0.814,0.538,1,-5.668,0,0.0347,0.0883,0.00000622,0.0864,0.588,136.129,10
Rasta Should Be Deeper,Junior Kelly,Tough Life,2004,209813,4,0.746,0.803,2,-5.817,0,0.0556,0.0269,0,0.332,0.731,72.384,47
Boom-Shack-A-Lack,Junior Reid,Boom-Shack-A-Lack,1997,213533,4,0.756,0.44,6,-8.256,0,0.293,0.145,0,0.0781,0.565,78.729,22
Cross Over The Border,Junior Reid,Boom-Shack-A-Lack,1997,202333,4,0.824,0.534,9,-6.654,1,0.083,0.114,0,0.109,0.738,77.886,12
Jah Love You Always,Junior Reid,The Living Legend,1997,208866,4,0.551,0.745,2,-5.305,0,0.0509,0.0754,0,0.199,0.213,175.918,0
One Blood,Junior Reid,One Blood,1997,204614,4,0.744,0.886,10,-6.633,0,0.0903,0.0716,0,0.335,0.967,167.297,35
Chase the Devil,"Lee ""Scratch"" Perry",Super Ape Returns to Conquer,1968,199850,4,0.7,0.696,9,-6.09,0,0.124,0.232,0.0453,0.428,0.81,155.05,30
Disco Devil (Extended Version),"Lee ""Scratch"" Perry",The Best of Lee Perry,1978,471826,4,0.682,0.726,0,-8.754,1,0.261,0.0785,0.000336,0.386,0.515,77.865,44
Jungle Lion,"Lee ""Scratch"" Perry",Return of Django: The Best of The Upsetters,1977,205373,4,0.769,0.922,8,-5.572,0,0.263,0.473,0.719,0.173,0.848,93.73,30
Police And Thieves,"Lee ""Scratch"" Perry",Destiny,1976,282989,4,0.793,0.643,11,-4.998,0,0.188,0.212,0.00921,0.143,0.648,137.942,11
Roast Fish and Corn Bread (Jamaican Mix),"Lee ""Scratch"" Perry",Ape-Ology Presents Super Ape vs. Return of the Super Ape,1977,215506,4,0.94,0.307,7,-11.817,1,0.0434,0.0666,0.0198,0.0654,0.572,115.541,12
Sin Semilla Kaya Dub,"Lee ""Scratch"" Perry",Scratch Attack!,1977,190373,4,0.835,0.312,6,-21.297,0,0.0718,0.0439,0.837,0.116,0.762,103.638,3
War Ina Babylon,"Lee ""Scratch"" Perry",Super Ape Returns to Conquer,1976,318890,4,0.696,0.782,7,-7.481,1,0.0455,0.00112,0.00196,0.349,0.596,144.997,15
Dread Beat An' Blood,Linton Kwesi Johnson,Dread Beat And Blood,1978,179954,4,0.805,0.391,1,-18.577,1,0.0738,0.00539,0.176,0.0686,0.82,158.24,20
Fite Dem Back,Linton Kwesi Johnson,Forces Of Victory,1978,266560,4,0.885,0.489,4,-16.975,0,0.22,0.0252,0,0.0523,0.893,115.898,32
Inglan Is A Bitch,Linton Kwesi Johnson,Bass Culture,1978,326373,4,0.885,0.305,7,-15.75,1,0.429,0.0556,0.0000508,0.0776,0.575,137.506,40
Man Free,Linton Kwesi Johnson,Dread Beat And Blood,1978,361952,4,0.801,0.538,4,-15.453,0,0.13,0.0787,0.00993,0.117,0.762,83.712,13
Reggae Fi Peach,Linton Kwesi Johnson,Bass Culture,1978,161400,4,0.74,0.331,1,-16.516,0,0.389,0.0105,0.000761,0.137,0.533,158.713,27
Sonny's Lettah (Anti-Sus Poem),Linton Kwesi Johnson,Forces Of Victory,1978,232293,4,0.741,0.405,9,-18.235,0,0.206,0.0542,0.0000016,0.0342,0.631,143.51,31
Back to My Roots,Lucky Dube,Slave,1987,254890,4,0.707,0.399,11,-10.25,1,0.0586,0.473,0.0102,0.0761,0.964,81.861,28
"Different Colours, One People (2012 Remastered)",Lucky Dube,Victims (2012 Remastered),1989,247426,4,0.825,0.634,11,-5.985,1,0.0548,0.0321,0,0.558,0.538,102.852,47
House of Exile (Remastered),Lucky Dube,House of Exile (Remastered),1990,205426,4,0.676,0.658,10,-6.044,1,0.0358,0.139,0,0.0866,0.941,81.896,54
It's Not Easy,Lucky Dube,House of Exile,1991,322533,4,0.697,0.72,11,-4.658,1,0.0277,0.264,0,0.201,0.657,129.453,29
Prisoner (Remastered),Lucky Dube,Prisoner (Remastered),1995,200760,4,0.653,0.498,11,-12.901,1,0.118,0.397,0,0.0389,0.819,79.617,53
Rastas Never Dies,Lucky Dube,Rastas Never Dies,1994,233626,4,0.634,0.87,7,-4.873,1,0.0578,0.497,0.0248,0.061,0.97,177.903,42
Remember Me,Lucky Dube,Prisoner,1996,263546,4,0.736,0.703,10,-7.729,1,0.0636,0.138,0.00000639,0.0727,0.716,84.142,36
Slave,Lucky Dube,Slave,1997,262573,4,0.659,0.548,10,-9.406,1,0.0395,0.617,0.00000233,0.0843,0.956,82.461,52
The Way It Is,Lucky Dube,The Way It Is,1998,249320,4,0.691,0.763,9,-5.883,1,0.048,0.376,0.00028,0.0887,0.875,157.06,52
Together As One,Lucky Dube,Together as One,1999,239160,4,0.696,0.638,8,-6.442,1,0.0391,0.42,0,0.0672,0.789,143.686,52
Don't Let Me Down,Marcia Griffiths,Play Me Sweet and Nice,1983,204533,4,0.691,0.662,4,-10.045,1,0.053,0.404,0.00509,0.465,0.947,157.367,45
Electric Boogie,Marcia Griffiths,Carousel,1983,242773,4,0.769,0.898,1,-9.347,1,0.0355,0.116,0.000648,0.261,0.968,108.141,41
Feel Like Jumping,Marcia Griffiths,Reggae Anthology: Melody Life,1983,213506,4,0.784,0.43,0,-9.284,1,0.0582,0.0566,0.167,0.0689,0.643,81.863,39
I've Got to go Back Home,Marcia Griffiths,Survival,1983,291666,4,0.603,0.32,6,-14.896,1,0.103,0.129,0.572,0.061,0.693,73.437,4
Sweet Bitter Love,Marcia Griffiths,Play Me Sweet and Nice,1983,192373,4,0.589,0.541,5,-10.224,1,0.0617,0.459,0.0000271,0.347,0.945,165.622,17
Young Gifted And Black,Marcia Griffiths,Reggae Anthology: Melody Life,1983,184360,4,0.65,0.497,0,-8.044,1,0.0305,0.00646,0.00855,0.375,0.928,116.385,15
Jerusalem,Matisyahu,Youth,2004,240253,4,0.799,0.653,8,-6.307,1,0.267,0.435,0,0.105,0.909,176.081,42
King Without a Crown,Matisyahu,Youth,2004,222386,4,0.697,0.859,5,-5.306,0,0.19,0.0349,0,0.0931,0.696,93.78,54
Live Like a Warrior,Matisyahu,Spark Seeker,2004,234179,4,0.288,0.812,10,-4.908,1,0.156,0.0719,0.00000345,0.329,0.349,90.006,42
One Day,Matisyahu,Light,2004,207573,4,0.346,0.61,0,-5.818,1,0.15,0.198,0,0.117,0.235,68.552,56
"Sea to Sea - Live at Stubb's, Austin, TX - February 2005",Matisyahu,Live at Stubb's,2005,247280,4,0.53,0.402,7,-8.917,0,0.0354,0.0272,0.000281,0.936,0.667,129.762,31
Sunshine,Matisyahu,Spark Seeker,2004,213069,4,0.697,0.769,0,-3.712,1,0.0626,0.00747,0,0.0733,0.822,100.029,52
Time Of Your Song,Matisyahu,Youth,2004,266280,4,0.722,0.776,2,-7.339,1,0.0734,0.09,0.000024,0.364,0.548,77.992,45
Chase The Devil,Max Romeo,Best Of,1976,177000,4,0.874,0.591,2,-5.213,1,0.143,0.013,0,0.138,0.76,76.004,62
No Place Like Home,Max Romeo,No Place Like Home,1976,294480,4,0.901,0.522,8,-9.98,1,0.102,0.0757,0.355,0.0772,0.8,139.964,46
Norman,Max Romeo,War Ina Babylon (Expanded Edition),1976,289306,4,0.831,0.604,4,-6.699,0,0.0698,0.0165,0,0.0945,0.826,128.9,21
One Step Forward,Max Romeo,Best Of,1976,219493,4,0.842,0.755,10,-5.023,0,0.0426,0.0329,0.0000498,0.0936,0.977,141.06,49
Three Blind Mice,Max Romeo,The Max Romeo Catalog Chapter 1 - Verse 1-16,1976,176240,4,0.902,0.475,0,-6.854,1,0.147,0.431,0.0000225,0.0441,0.689,135.498,28
Wet Dream,Max Romeo,A Dream,1976,162586,4,0.724,0.63,5,-6.759,1,0.0338,0.186,0.768,0.155,0.958,155.136,33
Close To You,Maxi Priest,Bonafide,1988,325800,4,0.781,0.478,6,-15.427,1,0.0561,0.0849,0.00000393,0.0877,0.962,95.992,56
Just A Little Bit Longer,Maxi Priest,Bonafide,1988,263733,4,0.585,0.599,9,-13.536,0,0.212,0.0418,0.0000162,0.508,0.789,173.085,32
Should I (Put My Trust In You),Maxi Priest,You're Safe,1988,224200,4,0.691,0.516,7,-14.106,1,0.132,0.0137,0.0712,0.0592,0.551,89.182,33
Some Guys Have All The Luck,Maxi Priest,The Best Of Me,1988,214645,4,0.787,0.519,6,-12.545,0,0.0309,0.139,0.0000176,0.0482,0.812,92.039,32
Wild World,Maxi Priest,Maxi,1988,218426,4,0.763,0.352,0,-11.789,1,0.0555,0.261,0.0000845,0.0791,0.732,83.993,56
Country Living,Mighty Diamonds,Reggae Anthology: Mighty Diamonds - Pass The Knowledge,1976,235693,4,0.817,0.576,7,-5.018,0,0.183,0.597,0.000047,0.0596,0.877,87.471,23
Have Mercy - 2001 Digital Remaster,Mighty Diamonds,Right Time,1976,199066,4,0.77,0.428,4,-8.881,1,0.0479,0.0935,0,0.0763,0.937,73.238,37
Heads Of Government,Mighty Diamonds,Reggae Anthology: Mighty Diamonds - Pass The Knowledge,1976,220360,4,0.72,0.575,7,-8.647,1,0.0861,0.057,0.000168,0.0809,0.877,79.686,8
I Need A Roof - 2001 Digital Remaster,Mighty Diamonds,Right Time,1976,171160,4,0.702,0.567,0,-9.179,1,0.0409,0.298,0.00000292,0.198,0.783,145.549,43
Pass The Kouchie,Mighty Diamonds,"No Seeds, No Stems, Just Hits",1976,215626,4,0.774,0.398,0,-11.673,1,0.0692,0.143,0.00303,0.248,0.873,142.675,19
Right Time - 2001 Digital Remaster,Mighty Diamonds,Right Time,1976,197200,4,0.837,0.382,2,-10.726,1,0.052,0.33,0.0000614,0.127,0.56,139.042,44
Shame And Pride - 2001 Digital Remaster,Mighty Diamonds,Right Time,1976,201626,4,0.774,0.475,7,-10.299,0,0.0859,0.136,0,0.167,0.765,72.374,26
Dread at the Controls,Mikey Dread,Dread at the Controls,1982,230186,4,0.861,0.539,7,-9.487,1,0.0544,0.163,0,0.0974,0.911,131.165,14
Prophecy,Mikey Dread,"Jah Soldiers Musical Weapon, Vol. 1",1982,271466,4,0.758,0.598,11,-5.977,0,0.144,0.00522,0,0.162,0.703,135.045,0
Roots and Culture,Mikey Dread,Pave the Way,1982,368720,4,0.735,0.507,6,-11.17,0,0.0842,0.136,0.0176,0.373,0.783,144.093,44
Saturday Night Style - Dub / Instrumental Reggae Music,Mikey Dread,African Anthem Deluxe: The Mikey Dread Show Dubwise,1982,293346,4,0.73,0.847,10,-7.454,0,0.0528,0.249,0.143,0.9,0.643,123.878,32
Swalk,Mikey Dread,SWALK,1982,528106,4,0.666,0.95,8,-4.767,1,0.0728,0.157,0.0000458,0.149,0.691,131.695,19
Don't Haffi Dread,Morgan Heritage,Don't Haffi Dread,1994,238550,4,0.722,0.376,7,-10.175,0,0.303,0.0214,0,0.053,0.753,76.002,41
Down by the River,Morgan Heritage,More Teachings,1994,229146,4,0.753,0.486,1,-7.66,1,0.053,0.14,0,0.0586,0.939,80.916,48
Nothing To Smile About,Morgan Heritage,Mission In Progress,1994,205026,4,0.695,0.661,7,-5.642,1,0.255,0.641,0,0.323,0.77,82.031,34
Reggae Bring Back Love,Morgan Heritage,Don't Haffi Dread,1994,215222,4,0.742,0.683,0,-5.355,1,0.0556,0.131,0,0.0574,0.885,88.342,29
She's Still Loving Me,Morgan Heritage,Reggae Masterpiece: Morgan Heritage,1994,263253,4,0.672,0.749,10,-4.62,1,0.0725,0.279,0,0.114,0.96,80.775,35
Tell Me How Come,Morgan Heritage,Full Circle,1994,216093,4,0.698,0.693,5,-4.923,1,0.251,0.225,0,0.0522,0.757,85.024,44
The World Is Yours,Morgan Heritage,Loyalty,1994,272990,4,0.797,0.908,0,-3.564,0,0.165,0.0708,0,0.108,0.86,107.027,3
